eng,zh-tw,zh-cn
additional melee hit bonus,近戰命中加成,近战命中加成
black mountain,黑山,黑山
horse breeding per turn,每回合養馬,每回合养马
horse breeding,養馬,养马
mass for cavalry units,騎兵單位質量,骑兵单位质量
recruitment cost,招募費用,招募费用
replenishment,補員速率,补员速率
stratocracy per turn,每回合軍政,每回合军政
stratocracy,軍政,军政
upkeep,維持費,维持费
Earth,土,土
Fire,火,火
Wood,木,木
Metal,金,金
Water,水,水
armour,護甲,铠甲
battle running speed,戰場奔跑速度,战场奔跑速度
missile block chance,遠程阻擋機率,远程格挡概率
ranged block chance,遠程阻擋機率,远程格挡概率
charge bonus,衝鋒加成,冲锋加成
charge speed,衝鋒速度,冲锋速度
speed,速度,速度
melee evasion,近戰迴避,近战闪避
melee attack rate,近戰攻擊速率,近战攻击速率
morale,士氣,士气
replenishment,補員速率,补员速率
health recovery,生命值回復,生命值回复
hit bonus,命中率加成,命中率加成
damage resistance,傷害抵抗力,伤害抵抗力
upkeep,維持費,维持费
upkeep cost,維持費,维持费
recruitment cost,招募費用,招募费用
